Company Name,Category,Category_Group,Subcategory,Health Trust,Sponsorship_Type,Renewal,Website,Address,City,Zip,Main Phone,Status,Missing_Address,Missing_City_Zip,Missing_Phone,Data_Quality_Notes
Atomic Screen Printing,MANUFACTURERS,MANUFACTURERS,,No,,MAY,http://atomicshirtfactory.nett,329 West Columbia Dr,Kennewick,99336,509.585.2866,Active,FALSE,FALSE,FALSE,
A&W Bottling / Unique Beverage,MANUFACTURERS,MANUFACTURERS,,Yes,,OCTOBER,,7620 Hardeson Road,Everett,98203,425.355.0100,Active,FALSE,FALSE,FALSE,
Erin Bakers,MANUFACTURERS,MANUFACTURERS,,Yes,,JULY,https://erinbakers.com,427 Ohio Street,Bellingham,98225,360.714.9585,Active,FALSE,FALSE,FALSE,
BAJI LLC,MANUFACTURERS,MANUFACTURERS,,Yes,,DECEMBER,https://www.beliefagency.com,4611 11th Ave. NW,Seattle,98107,206.659.6297,Active,FALSE,FALSE,FALSE,
Toast Group,MANUFACTURERS,MANUFACTURERS,,Yes,,NOVEMBER,https://blindtigerdesign.com,417 NW 65th St.,Seattle,98117,206.258.4431,Active,FALSE,FALSE,FALSE,
"BMT USA, LLC",MANUFACTURERS,MANUFACTURERS,,Yes,,APRIL,https://bmtusa.com,14532 169th Dr. SE,Monroe,98272,360.863.2252,Active,FALSE,FALSE,FALSE,
Boulder Canyon Ranch,MANUFACTURERS,MANUFACTURERS,,Yes,,NOVEMBER,https://www.bouldercanyonorganics.com,313 W Lincoln Road,Mesa,99343,509.989.3189,Active,FALSE,FALSE,FALSE,
Buyken Metal Products,MANUFACTURERS,MANUFACTURERS,,No,,JANUARY,https://buyken.com,1216 4th Ave. N.,Kent,98032,253.852.0634,Active,FALSE,FALSE,FALSE,
The BoxMaker a Supply One Company,MANUFACTURERS,MANUFACTURERS,,No,,OCTOBER,https://www.boxmaker.com,6230 S 190th Street,Kent,98032,,Active,FALSE,FALSE,TRUE,
Caffe Umbria Inc,MANUFACTURERS,MANUFACTURERS,,Yes,,DECEMBER,https://caffeumbria.com,8620 16th Ave. S.,Seattle,98108,206.762.5300,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
"Cannon Machine Products, Inc",MANUFACTURERS,MANUFACTURERS,,Yes,,NOVEMBER,https://cannonmch.com,1204 S. Clodfelter Rd.,Kennewick,99338,509.627.0505,Opted Out,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
"Catalynt Solutions, Inc",MANUFACTURERS,MANUFACTURERS,,Yes,,JANUARY,https://teamcatalynt.com,22817 102nd Place,Edmonds,98020,206.505.3500,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
Chuckanut Bay Distillery,MANUFACTURERS,MANUFACTURERS,,Yes,,MARCH,,1311 Cornwall Ave,,,360.738.7179,Active,FALSE,TRUE,FALSE,
Cirrus Cycles Inc,MANUFACTURERS,MANUFACTURERS,,Yes,,OCTOBER,https://cirruscycles.com,"3926 Irongate Road, Suite D",Bellingham,98226,360.392.8302,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
"Color Craft, LLC",MANUFACTURERS,MANUFACTURERS,,Yes,,JUNE,http://colorcraftinc.com,1130 Andover Park East,Tukwila,98188,206.832.0027,Active,FALSE,FALSE,FALSE,
Color Graphics Screenprinting,MANUFACTURERS,MANUFACTURERS,,Yes,,NOVEMBER,https://www.colorgraphicswa.com,2540 Crites St.,Tumwater,98512,360.352.3970,Active,FALSE,FALSE,FALSE,
Airware,MANUFACTURERS,MANUFACTURERS,,Yes,,APRIL,https://compressorsnw.com,"5800 188th Street SW, Suite B",Lynnwood,98037,425.771.8055,Active,FALSE,FALSE,FALSE,
Corvus Energy USA,MANUFACTURERS,MANUFACTURERS,,Yes,,NOVEMBER,https://corvusenergy.com,300 Harris Ave.,Bellingham,98225,360.937.0214,Active,FALSE,FALSE,FALSE,
"Crabtree Brands, LLC",MANUFACTURERS,MANUFACTURERS,,Yes,,JUNE,https://www.crabtreebrands.com,19225 8th Ave NE,Poulsbo,98370,360.598.2200,Active,FALSE,FALSE,FALSE,
Highwaymen Supply and Packaging LLC,MANUFACTURERS,MANUFACTURERS,,Yes,,JANUARY,https://customconesusa.com,"4101 Oakesdale Ave SW, Suite 200",Renton,98057,206.219.7516,Active,FALSE,FALSE,FALSE,
"Divers Street Rods, Inc",MANUFACTURERS,MANUFACTURERS,,Yes,,JUNE,https://www.diversstreetrods.com,PO Box 856,Sulton,98294,360.799.1327,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
Dundon Motorsports,MANUFACTURERS,MANUFACTURERS,,Yes,,NOVEMBER,https://www.dundonmotorsports.com,"10421 Burnham Dr. NW, Suite 6E",Gig Harbor,98332,253.200.4454,Active,FALSE,FALSE,FALSE,
WaterDrop Systems,MANUFACTURERS,MANUFACTURERS,,No,,MAY,https://waterdropsystems.com,7925 Sweet Iron Court SE,Tumwater,98501,360.870.1204,Active,FALSE,FALSE,FALSE,
EDCO Inc,MANUFACTURERS,MANUFACTURERS,,Yes,,NOVEMBER,https://edcometalfabricators.com,14508 Ovenell Road,Mount Vernon,98273,360.488.4455,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
Enclume Design Products,MANUFACTURERS,MANUFACTURERS,,Yes,,DECEMBER,https://enclume.com,24 Colwell Street,Port Hadlock,98339,360.385.6100,Active,FALSE,FALSE,FALSE,
Fab-Tech Inc,MANUFACTURERS,MANUFACTURERS,,Yes,,JULY,,9587 Green Road,Burlington,98233,360.755.0215,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
Jolly Family Corporation,MANUFACTURERS,MANUFACTURERS,,Yes,,NOVEMBER,https://www.fastsigns.com,2902 Rucker Ave.,Everett,98201,425.438.9350,Active,FALSE,FALSE,FALSE,
Fidalgo Bay Coffee,MANUFACTURERS,MANUFACTURERS,,Yes,,OCTOBER,,856 N Hill Blvd.,Burlington,98233,360.757.8818,Active,FALSE,FALSE,FALSE,
FinalRev Design & Consulting,MANUFACTURERS,MANUFACTURERS,,Yes,,DECEMBER,https://finalreveng.com,"123 E Johnson Ave., Suite 2",Chelan,98816,425.212.8634,Active,FALSE,FALSE,FALSE,
Firestar Dental Company,MANUFACTURERS,MANUFACTURERS,,Yes,,JANUARY,,18915 E Valley Highway,Kent,98032,425.473.6928,Active,FALSE,FALSE,FALSE,
Dataworks Development,MANUFACTURERS,MANUFACTURERS,,Yes,,DECEMBER,https://dwdev.com,6608 216th St. SW #100,Mountlake Terrace,98043,425.673.1974,Active,FALSE,FALSE,FALSE,
McBrown,MANUFACTURERS,MANUFACTURERS,,Yes,,DECEMBER,https://www.gardico.com,4912 14th Avenue NW,Seattle,98107,206.283.5850,Active,FALSE,FALSE,FALSE,
Glant Textiles Corporation,MANUFACTURERS,MANUFACTURERS,,No,,NOVEMBER,https://glant.com,"3031 S. Walden St., Ste. 200",Seattle,98144,206.725.4444,Active,FALSE,FALSE,FALSE,
GlobalTech Plastics LLC,MANUFACTURERS,MANUFACTURERS,,Yes,,MARCH,https://moldedgroup.com,5555 8th Street E,Fife,98424,253.854.4100,Active,FALSE,FALSE,FALSE,
"Golden Harvest, Inc",MANUFACTURERS,MANUFACTURERS,,Yes,,SEPTEMBER,https://www.goldenharvestinc.com,11944 Westar Lane,Burlington,98233,360.757.4334,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
"Harbor Island Machine Works, Inc",MANUFACTURERS,MANUFACTURERS,,Yes,,SEPTEMBER,https://harborislandmachine.com,3431 11th Ave. SW,Seattle,98134,206.682.7637,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
Pacific Prepak,MANUFACTURERS,MANUFACTURERS,,Yes,,JANUARY,https://hendricksonfarms.com,3925 134th St. NE,Marysville,98271,360.653.1661,Active,FALSE,FALSE,FALSE,
"Heritage Distilling Company, Inc",MANUFACTURERS,MANUFACTURERS,,Yes,,OCTOBER,https://heritagedistilling.com,3207 57th Street Court East,Gig Harbor,98335,562.397.8504,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
Hoffman Manufacturing,MANUFACTURERS,MANUFACTURERS,,Yes,,DECEMBER,,382477 Highway 95,"Tensed, ID",99128,208.686.2103,Active,FALSE,FALSE,FALSE,Cleared polluted Website field (contained address/description text instead of URL)
Sleepy Sheep Brands,MANUFACTURERS,MANUFACTURERS,,Yes,,SEPTEMBER,https://www.holylamborganics.com,104 W. Pine St.,Oakville,98568,206.276.8067,Active,FALSE,FALSE,FALSE,
"iClick, Inc",MANUFACTURERS,MANUFACTURERS,,Yes,,APRIL,https://www.iclick.com,3931 1st Ave. S.,Seattle,98134,800.456.9177,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
ID Integration,MANUFACTURERS,MANUFACTURERS,,Yes,,MAY,https://id-integration.com,13024 Beverly Park Road #104,Mukilteo,98275,435.438.2533,Active,FALSE,FALSE,FALSE,
"Impressions Worldwide, Inc",MANUFACTURERS,MANUFACTURERS,,Yes,,NOVEMBER,https://www.impressionsworldwide.com,11369 Higgins Airport Way,Burlington,98233,360.503.1069,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
Island Machine Inc,MANUFACTURERS,MANUFACTURERS,,No,,MAY,https://www.islandmachineinc.com,1303 E Casino Rd,Everett,98203,425.595.5023,Active,FALSE,FALSE,FALSE,
"Java Java Coffee Co., Inc",MANUFACTURERS,MANUFACTURERS,,Yes,,OCTOBER,https://javajavacoffee.com,"23130 224th Place SE., Ste. 101",Maple Valley,98038,425.432.2184,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
"Jet City Laser, Inc",MANUFACTURERS,MANUFACTURERS,,Yes,,SEPTEMBER,https://www.uid2go.com,"1501 15th Street NW, Ste. 105",Auburn,98001,206.623.4949,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
"Joe's Garage, LLC",MANUFACTURERS,MANUFACTURERS,,Yes,,AUGUST,https://joesgaragecoffee.com,20232 72nd Ave. S.,Kent,98032,206.466.5579,Active,FALSE,FALSE,FALSE,
Joseph Design,MANUFACTURERS,MANUFACTURERS,,Yes,,OCTOBER,,2401 Harbor Ave. SW,Seattle,98126,206.935.3974,Active,FALSE,FALSE,FALSE,
K9 Natural Foods USA,MANUFACTURERS,MANUFACTURERS,,Yes,,OCTOBER,https://www.naturalpetfoodgroup.com,14003 Brae Burn Road,Leavenworth,98826,206.355.7567,Active,FALSE,FALSE,FALSE,
Kooapps LLC,MANUFACTURERS,MANUFACTURERS,,Yes,,DECEMBER,,"15015 Main Street, Suite 200",Bellevue,98007,925.330.2076,Active,FALSE,FALSE,FALSE,
"Labels Plus, Inc",MANUFACTURERS,MANUFACTURERS,,Yes,,DECEMBER,https://labelsplus.com,2407 - 106th St. SW,Everett,98204,425.355.4833,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
"Lamar Technologies, LLC",MANUFACTURERS,MANUFACTURERS,,No,,NOVEMBER,https://www.lamartech.com,14900 40th Avenue NE,Marysville,98271,360.651.8869,Active,FALSE,FALSE,FALSE,
Pacific Air Cargo Transfer Systems,MANUFACTURERS,MANUFACTURERS,,Yes,,DECEMBER,https://lcnw.com,3205 C Street NE,Auburn,98002,253.736.2248,Active,FALSE,FALSE,FALSE,
Lightel Technologies,MANUFACTURERS,MANUFACTURERS,,Yes,,DECEMBER,https://www.lightel.com,"2210 Lind Ave. SW, Ste. 100",Renton,98057,425.277.8000,Active,FALSE,FALSE,FALSE,
Lighthouse Uniform Co,MANUFACTURERS,MANUFACTURERS,,Yes,,DECEMBER,,1532 15th Ave. W,Seattle,98119,206.282.6380,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
Lost Lake Games LTD,MANUFACTURERS,MANUFACTURERS,,Yes,,NOVEMBER,https://lostlakegames.com,"600 1st Ave. Ste. 102, #1122",Seattle,98104,206.817.2307,Active,FALSE,FALSE,FALSE,
Lotus United LLC,MANUFACTURERS,MANUFACTURERS,,Yes,,DECEMBER,https://www.lotusunited.com,7511 Greenwood Ave. N. #103,Seattle,98103,206.390.1204,Active,FALSE,FALSE,FALSE,
Lewis Publishing Co,MANUFACTURERS,MANUFACTURERS,,Yes,,DECEMBER,https://www.lyndentribune.com,113 6th St.,Lynden,98264,360.354.4444,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
Master Press Incorporated,MANUFACTURERS,MANUFACTURERS,,Yes,,OCTOBER,https://masterpress.net,10717 Midvale Ave. N.,Seattle,98133,,Active,FALSE,FALSE,TRUE,
"Membrion, Inc",MANUFACTURERS,MANUFACTURERS,,Yes,,OCTOBER,https://membrion.com,"3257 17th Ave. W., Bldg. 3",Seattle,98119,206.276.2944,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
Metal Solutions LLC,MANUFACTURERS,MANUFACTURERS,,Yes,,OCTOBER,https://metalsolutionsllc.com,6259 Airport Way S,Seattle,98108,206.682.5587,Active,FALSE,FALSE,FALSE,
"Meyer Sign Company, Inc",MANUFACTURERS,MANUFACTURERS,,Yes,,JANUARY,https://meyersign.com,2608 Hwy 99 South,Mount Vernon,98273,360.424.1325,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
"Mid-Mountain Materials, Inc",MANUFACTURERS,MANUFACTURERS,,Yes,,JANUARY,https://mid-mountain.com,"2731 77th Avenue SE, Ste. 100",Mercer Island,98040,206.762.7600,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
"Mike Lull's Guitar Works, Inc",MANUFACTURERS,MANUFACTURERS,,Yes,,JANUARY,https://www.mikelull.com,"12031 Northup Way, Suite 206",Bellevue,98005,425.643.8074,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
"Mobile Merchandisers, Inc",MANUFACTURERS,MANUFACTURERS,,Yes,,NOVEMBER,https://www.mobmerch.com,2611 Henson Road,Mount Vernon,98273,360.603.4884,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
MoltenWorks LLC,MANUFACTURERS,MANUFACTURERS,,Yes,,NOVEMBER,https://moltenworks.com,"12602 NE 178th St., Ste. A",Woodinville,98072,425.999.2596,Active,FALSE,FALSE,FALSE,
New Tech Industries,MANUFACTURERS,MANUFACTURERS,,Yes,,APRIL,https://www.newtechind.com,7911 44th Ave. W.,Mukilteo,98275,425.778.1200,Active,FALSE,FALSE,FALSE,
Nichols Bros Stoneworks,MANUFACTURERS,MANUFACTURERS,,Yes,,DECEMBER,https://nicholsbros.com,20209 BroadwayAvenue,Snohomish,98296,425.387.0173,Active,FALSE,FALSE,FALSE,
"NorPlex, Inc",MANUFACTURERS,MANUFACTURERS,,Yes,,MAY,https://norplexinc.com,PO Box 814,Auburn,98071,253.735.3431,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
"Northwest LED Lighting, Inc",MANUFACTURERS,MANUFACTURERS,,Yes,,DECEMBER,https://northwestled.com,"1404 Riverside Dr., Suite F",Mount Vernon,98372,360.422.5387,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
Expressions Signs Inc,MANUFACTURERS,MANUFACTURERS,,Yes,,FEBRUARY,https://www.nwsigns.com,17201 Beaton Road SE,Monroe,98272,425.844.6415,Active,FALSE,FALSE,FALSE,Stripped embedded note from name: 'Expressions Signs Inc. ** Renews March' -> 'Expressions Signs Inc.'; Trimmed trailing punctuation/spaces from name
Signature Bakery,MANUFACTURERS,MANUFACTURERS,,Yes,,OCTOBER,https://olsonbakingco.com,"6414 204th St SW, ST 100",Lynwood,98036,206.295.8534,Active,FALSE,FALSE,FALSE,
Sea Level Coffee,MANUFACTURERS,MANUFACTURERS,,Yes,,JANUARY,https://olympiacoffee.com,108 Cherry Street NE,Olympia,98501,808.636.5777,Active,FALSE,FALSE,FALSE,
Out of the Box Manufacturing,MANUFACTURERS,MANUFACTURERS,,Yes,,JANUARY,https://www.obmfg.com,1600 SW 43rd Street #200,Renton,98057,253.880.2921,Active,FALSE,FALSE,FALSE,
"Pacific Belting & Supply, Inc",MANUFACTURERS,MANUFACTURERS,,Yes,,NOVEMBER,,2629 Henson Road,Mount Vernon,98273,360.580.7539,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
Pacific Metalurgical Inc,MANUFACTURERS,MANUFACTURERS,,No,,AUGUST,https://pacmet.com,925 5th Avenue South,Kent,98032,800.428.9436,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
Winmarketing,MANUFACTURERS,MANUFACTURERS,,Yes,,NOVEMBER,https://www.pacificsportswear.com,10731 A Street S,Tacoma,98445,253.582.4444,Active,FALSE,FALSE,FALSE,
"Pacific Western Agencies, Inc",MANUFACTURERS,MANUFACTURERS,,Yes,,AUGUST,https://pacwestern.com,7700 2nd Avenue South,Seattle,98018,206.763.1802,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
"Perellion, Inc",MANUFACTURERS,MANUFACTURERS,,Yes,,DECEMBER,https://www.perellion.com,"3616 South Road, Ste. C1",Mukilteo,98275,425.249.6376,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
"Pioneer Aerofab Company, Inc",MANUFACTURERS,MANUFACTURERS,,Yes,,FEBRUARY,https://www.pioneeraerofab.com,15259 Flightline Road,Burlington,98233,360.757.4780,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
"PlayEveryWare, Inc",MANUFACTURERS,MANUFACTURERS,,Yes,,DECEMBER,https://www.playeveryware.com,"5601 6th Ave. S., Ste. 378",Seattle,98108,206.940.7563,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
Daffodil Press,MANUFACTURERS,MANUFACTURERS,,Yes,,OCTOBER,https://www.pointrobertspress.com,225 Marine Drive Suite 200,Blaine,98230,360.332.1777,Active,FALSE,FALSE,FALSE,
Hill Print Inc,MANUFACTURERS,MANUFACTURERS,,Yes,,NOVEMBER,https://printcoinc.com,"32 G Street NW, Suite A",Auburn,98001,425.255.7700,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
Printery Communications,MANUFACTURERS,MANUFACTURERS,,Yes,,DECEMBER,https://printery.com,631 Tyler Street,Port Townsend,98368,360.385.1256,Active,FALSE,FALSE,FALSE,
Origin Books,MANUFACTURERS,MANUFACTURERS,,Yes,,OCTOBER,https://pugetbindery.com,7820 S. 228th Street,Kent,98032,253.872.5707,Active,FALSE,FALSE,FALSE,
Puyallup Tribal Enterprises,MANUFACTURERS,MANUFACTURERS,,No,,JUNE,https://www.puyalluptribalenterprises.com,3009 E Portland Ave.,Tacoma,98404,206.910.1337,Active,FALSE,FALSE,FALSE,
QR Industries Inc,MANUFACTURERS,MANUFACTURERS,,Yes,,NOVEMBER,https://qrind.net,19109 63rd Ave. NE #3,Arlington,98223,360.435.2840,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
"Quality Stamping & Machining, Inc",MANUFACTURERS,MANUFACTURERS,,Yes,,AUGUST,https://qualstamp.com,1907 137th Ave. E.,Tacoma,98390,253.863.5770,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
Questech Unlimited,MANUFACTURERS,MANUFACTURERS,,Yes,,NOVEMBER,https://questech.us,19017 62nd Ave.S.,Kent,98032,907.782.5201,Active,FALSE,FALSE,FALSE,
"Recycled Cycles, Inc",MANUFACTURERS,MANUFACTURERS,,Yes,,NOVEMBER,https://www.recycledcycles.com,1007 NE Boat Street,Seattle,98105,206.547.1566,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
Red Rock Outdoors CO,MANUFACTURERS,MANUFACTURERS,,Yes,,JANUARY,https://www.redwoodoutdoors.com,20730 72nd Ave. S.,Kent,98032,206.619.1863,Active,FALSE,FALSE,FALSE,
GCB Enterprises,MANUFACTURERS,MANUFACTURERS,,Yes,,NOVEMBER,https://remotecontroltech.com,14756 NE 95th St.,Redmond,98052,425.216.7555,Active,FALSE,FALSE,FALSE,
Rene Herse Cycles Ltd,MANUFACTURERS,MANUFACTURERS,,Yes,,MARCH,https://www.renehersecycles.com,2442 NW Market St. #426,Seattle,98107,206.326.9970,Active,FALSE,FALSE,FALSE,
"Rill Foods, LLC",MANUFACTURERS,MANUFACTURERS,,Yes,,FEBRUARY,,11442 N Thorp Hwy,Thorp,98496,509.964.2520,Active,FALSE,FALSE,FALSE,
Rothenbuhler Engineering,MANUFACTURERS,MANUFACTURERS,,Yes,,JANUARY,https://rothenbuhlereng.com,PO Box 708,Sedro Woolley,98284,360.856.0836,Active,FALSE,FALSE,FALSE,
Rottler Manufacturing,MANUFACTURERS,MANUFACTURERS,,No,,DECEMBER,https://rottlermfg.com,8019 South 200th Street,Kent,98032,253.872.7050,Active,FALSE,FALSE,FALSE,
San Gennaro Foods,MANUFACTURERS,MANUFACTURERS,,Yes,,MARCH,https://www.polenta.net,19255 80th Ave. S.,Kent,98032,253.872.1900,Active,FALSE,FALSE,FALSE,
"Seakamp Engineering, Inc",MANUFACTURERS,MANUFACTURERS,,Yes,,NOVEMBER,https://seakamp.com,3985 Hammer Drive,Bellingham,98226,360.734.2788,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
Seattle Shirt Company LLC,MANUFACTURERS,MANUFACTURERS,,Yes,,DECEMBER,https://seattleshirt.com,,,,425.368.8691,Bounced,TRUE,TRUE,FALSE,Trimmed trailing punctuation/spaces from name
"Shareways Industries, Inc",MANUFACTURERS,MANUFACTURERS,,Yes,,JANUARY,,2526 E Street NE,Auburn,98002,253.804.0670,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
MNS Marketing,MANUFACTURERS,MANUFACTURERS,,Yes,,JULY,https://www.sirspeedy.com/tacomawa050,"7450 South Tacoma Way, Ste. B1",Tacoma,98409,253.473.0765,Active,FALSE,FALSE,FALSE,
Skagit Valley's Best Produce,MANUFACTURERS,MANUFACTURERS,,Yes,,JANUARY,https://www.svbest.com,PO Box 2328,Mount Vernon,98273,360.848.0777,Active,FALSE,FALSE,FALSE,
Skills Inc,MANUFACTURERS,MANUFACTURERS,,No,,AUGUST,https://www.skillsinc.com,425 C Street NW,Auburn,98001,206.782.6000,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
Signature Plastics,MANUFACTURERS,MANUFACTURERS,,Yes,,AUGUST,,7837 Custer School Road,Custer,98240,360.366.5044,Active,FALSE,FALSE,FALSE,
Spincycle Yarns LLC,MANUFACTURERS,MANUFACTURERS,,Yes,,NOVEMBER,https://spincycleyarns.com,2135 Queen Street B,Bellingham,98225,630.417.1057,Active,FALSE,FALSE,FALSE,
Squires Machine Inc,MANUFACTURERS,MANUFACTURERS,,Yes,,DECEMBER,,19510 21st Ave. W.,Lynnwood,98036,425.672.7101,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name; Removed incorrect website (was copy-pasted from Spincycle Yarns row above it)
Steeler Inc,MANUFACTURERS,MANUFACTURERS,,Yes,,JANUARY,https://www.steeler.com,10023 MLK Jr. Way South,Seattle,98059,206.725.2500,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
Sterlitech Corporation,MANUFACTURERS,MANUFACTURERS,,Yes,,SEPTEMBER,https://www.sterlitech.com,4620 B St. NW,Auburn,98001,253.437.0844,Active,FALSE,FALSE,FALSE,
Stratus Automation Corporation,MANUFACTURERS,MANUFACTURERS,,Yes,,DECEMBER,https://stratusauto.com,,,,425.291.7240,Active,TRUE,TRUE,FALSE,
"Sugiyo USA, Inc",MANUFACTURERS,MANUFACTURERS,,Yes,,DECEMBER,https://www.sugiyo.com,3200 T Avenue,Anacortes,98221,360.293.0180,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
Tahoma Print & MFG,MANUFACTURERS,MANUFACTURERS,,No,,MAY,https://tahomamfg.com,,,,,Active,TRUE,TRUE,TRUE,
The Foundry Clothing Company,MANUFACTURERS,MANUFACTURERS,,Yes,,OCTOBER,,411 S. Dawson St.,Seattle,98108,206.226.9706,Active,FALSE,FALSE,FALSE,
